time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
29.154307,0.28901369,-0.02994790,0.31535786,-0.56670200,-0.02634417,0.53675410,0.53740021
29.174289,0.28246111,-0.03353869,0.32119156,-0.63414224,-0.03873045,0.60060355,0.60185103
29.194522,0.27580817,-0.03704650,0.39437422,-0.98888099,-0.11856605,0.95183449,0.95919070
29.214314,0.26905724,-0.04047010,0.33704363,-0.83624256,-0.06798639,0.79577246,0.79867137
29.234226,0.26221072,-0.04380825,0.26875265,-0.61459650,-0.00654193,0.57078825,0.57082574
29.254189,0.25527103,-0.04705978,0.33029265,-0.90352553,-0.07502162,0.85646575,0.85974521
29.274254,0.24824064,-0.05022353,0.29877155,-0.83254624,-0.05053091,0.78232271,0.78395293
29.294597,0.24112206,-0.05329838,0.22385097,-0.57058052,0.01727109,0.51728214,0.51757039
29.314333,0.23391780,-0.05628323,0.30430131,-0.92961350,-0.07038351,0.87333027,0.87616186
29.334372,0.22663044,-0.05917703,0.30329035,-0.99466354,-0.07665991,0.93548651,0.93862226
29.354367,0.21926256,-0.06197874,0.21409861,-0.68761550,0.00516395,0.62563676,0.62565808
29.374478,0.21181677,-0.06468737,0.22757117,-0.77975283,-0.01575440,0.71506546,0.71523899
29.394160,0.20429572,-0.06730196,0.25716392,-0.93685436,-0.05286820,0.86955240,0.87115810
29.414273,0.19670209,-0.06982158,0.16957756,-0.61851870,0.02712453,0.54869712,0.54936715
29.434632,0.18903858,-0.07224533,0.17589712,-0.66620435,0.01314146,0.59395902,0.59410438
29.454306,0.18130790,-0.07457235,0.24951675,-0.99919545,-0.06820885,0.92462310,0.92713555
29.474809,0.17351280,-0.07680182,0.19712067,-0.83878727,-0.02360787,0.76198545,0.76235107
29.494371,0.16565605,-0.07893295,0.13901138,-0.63833869,0.02664467,0.55940574,0.56003993
29.514347,0.15774044,-0.08096497,0.20020127,-0.90682107,-0.04246083,0.82585610,0.82694693
29.534327,0.14976880,-0.08289716,0.16199507,-0.78483535,-0.01222627,0.70193819,0.70204466
29.554192,0.14174393,-0.08472884,0.08152091,-0.47481799,0.06022302,0.39008915,0.39471047
29.574209,0.13366871,-0.08645936,0.17203439,-0.83958490,-0.03836568,0.75312554,0.75410212
29.594362,0.12554600,-0.08808811,0.17428774,-0.88082893,-0.04874174,0.79274082,0.79423785
29.614274,0.11737868,-0.08961449,0.09165477,-0.58271523,0.02572391,0.49310074,0.49377127
29.634292,0.10916965,-0.09103798,0.14020730,-0.80139721,-0.03103765,0.71035923,0.71103697
29.653893,0.10092184,-0.09235806,0.12834875,-0.76647187,-0.02742691,0.67411381,0.67467153
29.674443,0.09263817,-0.09357427,0.06140147,-0.50808829,0.03123670,0.41451402,0.41568931
29.694638,0.08432159,-0.09468618,0.15393668,-0.88307210,-0.06961509,0.78838592,0.79145349
29.714386,0.07597505,-0.09569338,0.15481281,-0.92251069,-0.07883776,0.82681731,0.83056743
29.734208,0.06760152,-0.09659552,0.07155287,-0.62384168,-0.00395135,0.52724616,0.52726096
29.754127,0.05920396,-0.09739229,0.10946382,-0.80418721,-0.05025986,0.70679492,0.70857965
29.774093,0.05078537,-0.09808339,0.09047881,-0.73871836,-0.03969344,0.64063497,0.64186348
29.794376,0.04234874,-0.09866859,0.01367610,-0.44314975,0.02867264,0.34448116,0.34567237
29.814316,0.03389706,-0.09914767,0.10903775,-0.83192647,-0.07514069,0.73277880,0.73662127
29.834306,0.02543334,-0.09952047,0.11174573,-0.88472362,-0.08631239,0.78520315,0.78993279
